"","ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"26","000001.SH",2019-10-24,2940.9215,2944.0067,2953.0441,2927.0612,2941.6188,-0.6973,-0.0237,126540290,141667233
"27","000001.SH",2019-10-23,2941.6188,2952.9693,2957.2995,2934.6274,2954.3799,-12.7611,-0.4319,123812881,139653650.5
"28","000001.SH",2019-10-22,2954.3799,2945.6001,2954.6415,2934.3873,2939.6179,14.762,0.5022,117482048,130381741.2
"29","000001.SH",2019-10-21,2939.6179,2933.8969,2940.3246,2917.6884,2938.1413,1.4766,0.0503,132475107,145685881.2
"30","000001.SH",2019-10-18,2938.1413,2982.3417,2987.2035,2933.2424,2977.3342,-39.1929,-1.3164,149990678,162018272.3
"31","000001.SH",2019-10-17,2977.3342,2979.9929,2986.7191,2969.568,2978.7124,-1.3782,-0.0463,122527614,136051252.1
"32","000001.SH",2019-10-16,2978.7124,2992.6103,3010.4241,2975.9233,2991.0459,-12.3335,-0.4123,149885496,166791549.4
"33","000001.SH",2019-10-15,2991.0459,3005.6646,3005.6646,2986.3033,3007.8834,-16.8375,-0.5598,155376904,169531932.5
"34","000001.SH",2019-10-14,3007.8834,2993.9617,3026.3834,2989.8125,2973.6558,34.2276,1.151,208614802,221201755.7
"35","000001.SH",2019-10-11,2973.6558,2954.8189,2980.7875,2943.0137,2947.7106,25.9452,0.8802,161203746,182747393.1
"36","000001.SH",2019-10-10,2947.7106,2923.7069,2949.2404,2918.2284,2924.8566,22.854,0.7814,134239752,157159976.8
"37","000001.SH",2019-10-09,2924.8566,2902.0751,2924.8566,2891.5394,2913.5704,11.2862,0.3874,130424144,150940230.8
"38","000001.SH",2019-10-08,2913.5704,2905.7559,2933.0163,2905.7559,2905.1892,8.3812,0.2885,125535812,151980792
"39","000001.SH",2019-09-30,2905.1892,2927.9165,2936.482,2905.1892,2932.167,-26.9778,-0.9201,116646811,142591702.5
"40","000001.SH",2019-09-27,2932.5491,2929.486,2939.0789,2920.93,2929.0875,3.4616,0.1182,132905777,153311002.4
"41","000001.SH",2019-09-26,2929.0875,2964.4776,2970.0354,2928.2589,2955.4325,-26.345,-0.8914,188932541,216277562.9
"42","000001.SH",2019-09-25,2955.4325,2977.6676,2977.6676,2955.4325,2985.3406,-29.9081,-1.0018,168543135,203782754.2
"43","000001.SH",2019-09-24,2985.3406,2979.4752,3002.8967,2973.7601,2977.0767,8.2639,0.2776,163902761,206245805.6
"44","000001.SH",2019-09-23,2977.0767,2998.3995,2998.3995,2960.827,3006.4467,-29.37,-0.9769,168139450,199130548.8
"45","000001.SH",2019-09-20,3006.4467,3004.8142,3011.34,2996.1929,2999.2789,7.1678,0.239,182145302,218390586.9
"46","000001.SH",2019-09-19,2999.2789,2992.9222,2999.2789,2975.3978,2985.6586,13.6203,0.4562,162690615,193206549.5
"47","000001.SH",2019-09-18,2985.6586,2984.0837,2996.4022,2982.4003,2978.1178,7.5408,0.2532,168046699,199953631.6
"48","000001.SH",2019-09-17,2978.1178,3023.7109,3023.7109,2970.5704,3030.7544,-52.6366,-1.7367,223338061,237738935.9
"49","000001.SH",2019-09-16,3030.7544,3041.922,3042.9284,3020.0495,3031.2351,-0.4807,-0.0159,221878959,237442265.4
"50","000001.SH",2019-09-12,3031.2351,3016.6267,3033.473,3005.1948,3008.8118,22.4233,0.7453,196968701,224576025.3
"51","000001.SH",2019-09-11,3008.8118,3029.9334,3030.557,3004.2152,3021.2024,-12.3906,-0.4101,229837362,263389555
"52","000001.SH",2019-09-10,3021.2024,3027.4103,3027.4103,3005.3825,3024.7388,-3.5364,-0.1169,240012947,275321751.6
"53","000001.SH",2019-09-09,3024.7388,3023.778,3026.2398,3005.6949,2999.6013,25.1375,0.838,243377752,286236532.1
"54","000001.SH",2019-09-06,2999.6013,2996.6216,2999.9434,2981.5983,2985.8648,13.7365,0.4601,216826035,258318744.9
"55","000001.SH",2019-09-05,2985.8648,2972.6619,3015.8443,2972.6619,2957.4116,28.4532,0.9621,305438706,340200666.6
"56","000001.SH",2019-09-04,2957.4116,2927.747,2957.4116,2925.8825,2930.1538,27.2578,0.9303,225495907,251212694
"57","000001.SH",2019-09-03,2930.1538,2925.9422,2930.1538,2915.1974,2924.1063,6.0475,0.2068,189001216,225070157.3
"58","000001.SH",2019-09-02,2924.1063,2886.9418,2928.4793,2883.6823,2886.2365,37.8698,1.3121,202786807,226043693.3
"59","000001.SH",2019-08-30,2886.2365,2907.3825,2914.5767,2874.1028,2890.9192,-4.6827,-0.162,193959951,224751169.9
"60","000001.SH",2019-08-29,2890.9192,2895.9991,2898.6046,2878.5878,2893.7564,-2.8372,-0.098,178613082,196332770.5
"61","000001.SH",2019-08-28,2893.7564,2901.6267,2905.4354,2887.0115,2902.1932,-8.4368,-0.2907,183097903,201805050.6
